"REF_DATE","GEO","DGUID","Education","Donation statistics (UOM)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Prince Edward Island","2016A000211","University degree","Median annual donations","Dollars","81","units","0","v95644172","3.5.3","262","","","","0"
"2013","Prince Edward Island","2016A000211","University degree","Total annual donations","Dollars","81","millions","6","v95644173","3.5.4","17.4","","","","1"
"2013","Prince Edward Island","2016A000211","University degree","Population distribution","Percent","239","units","0","v95644174","3.5.5","19.8","","","","1"
"2013","Prince Edward Island","2016A000211","University degree","Percentage of total donation value","Percent","239","units","0","v95644175","3.5.6","35.3","","","","1"
"2013","Nova Scotia","2016A000212","All education levels","Donor rate","Percent","239","units","0","v95644176","4.1.1","84.0","","","","1"
"2013","Nova Scotia","2016A000212","All education levels","Average annual donations","Dollars","81","units","0","v95644177","4.1.2","410","","","","0"
"2013","Nova Scotia","2016A000212","All education levels","Median annual donations","Dollars","81","units","0","v95644178","4.1.3","125","","","","0"
"2013","Nova Scotia","2016A000212","All education levels","Total annual donations","Dollars","81","millions","6","v95644179","4.1.4","259.3","","","","1"
"2013","Nova Scotia","2016A000212","All education levels","Population distribution","Percent","239","units","0","v95644180","4.1.5","100.0","","","","1"
"2013","Nova Scotia","2016A000212","All education levels","Percentage of total donation value","Percent","239","units","0","v95644181","4.1.6","100.0","","","","1"
"2013","Nova Scotia","2016A000212","Less than high school","Donor rate","Percent","239","units","0","v95644182","4.2.1","66.7","","","","1"
"2013","Nova Scotia","2016A000212","Less than high school","Average annual donations","Dollars","81","units","0","v95644183","4.2.2","270","","","","0"
"2013","Nova Scotia","2016A000212","Less than high school","Median annual donations","Dollars","81","units","0","v95644184","4.2.3","85","E","","","0"
"2013","Nova Scotia","2016A000212","Less than high school","Total annual donations","Dollars","81","millions","6","v95644185","4.2.4","24.3","E","","","1"
"2013","Nova Scotia","2016A000212","Less than high school","Population distribution","Percent","239","units","0","v95644186","4.2.5","18.0","","","","1"
"2013","Nova Scotia","2016A000212","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644187","4.2.6","9.4","E","","","1"
"2013","Nova Scotia","2016A000212","Graduated from high school","Donor rate","Percent","239","units","0","v95644188","4.3.1","82.6","","","","1"
"2013","Nova Scotia","2016A000212","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644189","4.3.2","376","E","","","0"
"2013","Nova Scotia","2016A000212","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644190","4.3.3","90","","","","0"
"2013","Nova Scotia","2016A000212","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644191","4.3.4","62.5","E","","","1"
"2013","Nova Scotia","2016A000212","Graduated from high school","Population distribution","Percent","239","units","0","v95644192","4.3.5","26.7","","","","1"
"2013","Nova Scotia","2016A000212","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644193","4.3.6","24.1","E","","","1"
"2013","Nova Scotia","2016A000212","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644194","4.4.1","88.4","","","","1"
"2013","Nova Scotia","2016A000212","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644195","4.4.2","406","","","","0"
"2013","Nova Scotia","2016A000212","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644196","4.4.3","148","","","","0"
"2013","Nova Scotia","2016A000212","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644197","4.4.4","86.4","","","","1"
"2013","Nova Scotia","2016A000212","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644198","4.4.5","32.0","","","","1"
"2013","Nova Scotia","2016A000212","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644199","4.4.6","33.3","","","","1"
"2013","Nova Scotia","2016A000212","University degree","Donor rate","Percent","239","units","0","v95644200","4.5.1","93.1","","","","1"
"2013","Nova Scotia","2016A000212","University degree","Average annual donations","Dollars","81","units","0","v95644201","4.5.2","528","","","","0"
"2013","Nova Scotia","2016A000212","University degree","Median annual donations","Dollars","81","units","0","v95644202","4.5.3","168","","","","0"
"2013","Nova Scotia","2016A000212","University degree","Total annual donations","Dollars","81","millions","6","v95644203","4.5.4","86.1","","","","1"
"2013","Nova Scotia","2016A000212","University degree","Population distribution","Percent","239","units","0","v95644204","4.5.5","23.3","","","","1"
"2013","Nova Scotia","2016A000212","University degree","Percentage of total donation value","Percent","239","units","0","v95644205","4.5.6","33.2","","","","1"
"2013","New Brunswick","2016A000213","All education levels","Donor rate","Percent","239","units","0","v95644206","5.1.1","83.5","","","","1"
"2013","New Brunswick","2016A000213","All education levels","Average annual donations","Dollars","81","units","0","v95644207","5.1.2","351","","","","0"
"2013","New Brunswick","2016A000213","All education levels","Median annual donations","Dollars","81","units","0","v95644208","5.1.3","99","","","","0"
"2013","New Brunswick","2016A000213","All education levels","Total annual donations","Dollars","81","millions","6","v95644209","5.1.4","177.2","","","","1"
"2013","New Brunswick","2016A000213","All education levels","Population distribution","Percent","239","units","0","v95644210","5.1.5","100.0","","","","1"
"2013","New Brunswick","2016A000213","All education levels","Percentage of total donation value","Percent","239","units","0","v95644211","5.1.6","100.0","","","","1"
"2013","New Brunswick","2016A000213","Less than high school","Donor rate","Percent","239","units","0","v95644212","5.2.1","67.8","","","","1"
"2013","New Brunswick","2016A000213","Less than high school","Average annual donations","Dollars","81","units","0","v95644213","5.2.2","185","E","","","0"
"2013","New Brunswick","2016A000213","Less than high school","Median annual donations","Dollars","81","units","0","v95644214","5.2.3","68","E","","","0"
"2013","New Brunswick","2016A000213","Less than high school","Total annual donations","Dollars","81","millions","6","v95644215","5.2.4","14.8","E","","","1"
"2013","New Brunswick","2016A000213","Less than high school","Population distribution","Percent","239","units","0","v95644216","5.2.5","19.5","","","","1"
"2013","New Brunswick","2016A000213","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644217","5.2.6","8.4","E","","","1"
"2013","New Brunswick","2016A000213","Graduated from high school","Donor rate","Percent","239","units","0","v95644218","5.3.1","81.6","","","","1"
"2013","New Brunswick","2016A000213","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644219","5.3.2","331","","","","0"
"2013","New Brunswick","2016A000213","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644220","5.3.3","69","E","","","0"
"2013","New Brunswick","2016A000213","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644221","5.3.4","52.9","","","","1"
"2013","New Brunswick","2016A000213","Graduated from high school","Population distribution","Percent","239","units","0","v95644222","5.3.5","32.4","","","","1"
"2013","New Brunswick","2016A000213","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644223","5.3.6","29.9","","","","1"
"2013","New Brunswick","2016A000213","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644224","5.4.1","87.7","","","","1"
"2013","New Brunswick","2016A000213","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644225","5.4.2","305","","","","0"
"2013","New Brunswick","2016A000213","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644226","5.4.3","103","","","","0"
"2013","New Brunswick","2016A000213","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644227","5.4.4","43.6","","","","1"
"2013","New Brunswick","2016A000213","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644228","5.4.5","26.9","","","","1"
"2013","New Brunswick","2016A000213","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644229","5.4.6","24.6","","","","1"
"2013","New Brunswick","2016A000213","University degree","Donor rate","Percent","239","units","0","v95644230","5.5.1","95.3","","","","1"
"2013","New Brunswick","2016A000213","University degree","Average annual donations","Dollars","81","units","0","v95644231","5.5.2","538","","","","0"
"2013","New Brunswick","2016A000213","University degree","Median annual donations","Dollars","81","units","0","v95644232","5.5.3","177","","","","0"
"2013","New Brunswick","2016A000213","University degree","Total annual donations","Dollars","81","millions","6","v95644233","5.5.4","65.8","","","","1"
"2013","New Brunswick","2016A000213","University degree","Population distribution","Percent","239","units","0","v95644234","5.5.5","21.2","","","","1"
"2013","New Brunswick","2016A000213","University degree","Percentage of total donation value","Percent","239","units","0","v95644235","5.5.6","37.1","","","","1"
"2013","Quebec","2016A000224","All education levels","Donor rate","Percent","239","units","0","v95644236","6.1.1","80.8","","","","1"
"2013","Quebec","2016A000224","All education levels","Average annual donations","Dollars","81","units","0","v95644237","6.1.2","272","","","","0"
"2013","Quebec","2016A000224","All education levels","Median annual donations","Dollars","81","units","0","v95644238","6.1.3","71","","","","0"
"2013","Quebec","2016A000224","All education levels","Total annual donations","Dollars","81","millions","6","v95644239","6.1.4","1402.6","","","","1"
"2013","Quebec","2016A000224","All education levels","Population distribution","Percent","239","units","0","v95644240","6.1.5","100.0","","","","1"
"2013","Quebec","2016A000224","All education levels","Percentage of total donation value","Percent","239","units","0","v95644241","6.1.6","100.0","","","","1"
"2013","Quebec","2016A000224","Less than high school","Donor rate","Percent","239","units","0","v95644242","6.2.1","65.2","","","","1"
"2013","Quebec","2016A000224","Less than high school","Average annual donations","Dollars","81","units","0","v95644243","6.2.2","133","","","","0"
"2013","Quebec","2016A000224","Less than high school","Median annual donations","Dollars","81","units","0","v95644244","6.2.3","49","","","","0"
"2013","Quebec","2016A000224","Less than high school","Total annual donations","Dollars","81","millions","6","v95644245","6.2.4","75.4","","","","1"
"2013","Quebec","2016A000224","Less than high school","Population distribution","Percent","239","units","0","v95644246","6.2.5","13.6","","","","1"
"2013","Quebec","2016A000224","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644247","6.2.6","5.4","","","","1"
"2013","Quebec","2016A000224","Graduated from high school","Donor rate","Percent","239","units","0","v95644248","6.3.1","77.6","","","","1"
"2013","Quebec","2016A000224","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644249","6.3.2","230","E","","","0"
"2013","Quebec","2016A000224","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644250","6.3.3","64","","","","0"
"2013","Quebec","2016A000224","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644251","6.3.4","302.0","E","","","1"
"2013","Quebec","2016A000224","Graduated from high school","Population distribution","Percent","239","units","0","v95644252","6.3.5","26.5","","","","1"
"2013","Quebec","2016A000224","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644253","6.3.6","21.5","E","","","1"
"2013","Quebec","2016A000224","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644254","6.4.1","85.6","","","","1"
"2013","Quebec","2016A000224","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644255","6.4.2","189","E","","","0"
"2013","Quebec","2016A000224","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644256","6.4.3","59","","","","0"
"2013","Quebec","2016A000224","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644257","6.4.4","360.6","E","","","1"
"2013","Quebec","2016A000224","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644258","6.4.5","35.0","","","","1"
